Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
Data Scientist,$80K - $137K (Glassdoor est.),"Job Description

What You’ll Get to Do:
We have an exciting opportunity for a Data Scientist to support a client’s requirements in a challenging, dynamic setting located in the Washington Metropolitan Area. The Data Scientist will be expected to build statistical models, test hypotheses, interpret, summarize, visualize, and succinctly report on data findings.

More About the Role:
The Data Scientist will perform research on various data sources, to include unstructured data using quantitative and qualitative content analytics. The Scientist will construct and perform complex database search queries in multiple databases using SQL and API interfaces. The Scientist will perform web scraping and apply various techniques for processing unstructured data. The Scientist will leverage automation and machine learning to manage data, predict scenarios and make recommendations. The Data Scientist will contribute to building new analytical tools and packages across the enterprise and will be expected to collaborate with team members in a highly technical environment. The Data Scientist will be expected to learn and leverage emerging technologies including AWS and Git.


Strong experience working with Python or R programming languages
Experience working with data manipulation, analytic/business insight tools, and data visualization experience
Experience with SciPy stack or Tidyverse packages
Experience constructing and performing complex database search queries
Experience/ knowledge of computer science concepts, data architecture, and experience/knowledge of statistics
Experience /familiarity with statistics and probability including predicative modeling
Experience with visualizing data using popular packages including Tableau, ggplot or Matplotlib
Ability to communicate technical findings to non-technical audiences
Bachelor’s degree in a highly quantitative subject or related field (for example, statistics, mathematics, economics, or related field)
TS/SCI clearance with polygraph required
Position requires a BS degree + 3 years of applicable experience OR a Master's degree + 1 year of applicable experience


We’ve been named a Best Place to Work by the Washington Post.
Our employees value the flexibility at CACI that allows them to balance quality work and their personal lives.
We offer competitive benefits and learning and development opportunities.
We are mission-oriented and ever vigilant in aligning our solutions with the nation’s highest priorities.
For over 55 years, the principles of CACI’s unique, character-based culture have been the driving force behind our success.
Job Location
US-Mclean-VA-VIRGINIA SUBURBAN

CACI employs a diverse range of talent to create an environment that fuels innovation and fosters continuous improvement and success. At CACI, you will have the opportunity to make an immediate impact by providing information solutions and services in support of national security missions and government transformation for Intelligence, Defense, and Federal Civilian customers. CACI is proud to provide dynamic careers for employees worldwide. CACI is an Equal Opportunity Employer - Females/Minorities/Protected Veterans/Individuals with Disabilities.",3.9,"CACI
3.9","McLean, VA",-1,10000+ Employees,1962,Company - Public,Aerospace & Defense,Aerospace & Defense,$2 to $5 billion (USD),-1
Principal Data Scientist,$104K - $170K (Glassdoor est.),"Working out of our Chevy Chase, MD/Washington DC office, GEICO's Data Science team uses predictive analytics and innovative machine learning models to create value from data. We solve problems across GEICO, from Marketing to Claims and Underwriting, and are responsible for developing and driving strategic modeling initiatives. We see our projects through the entire data science lifecycle, from problem definition to data exploration, data munging, modeling, analysis, and deployment into production systems. We maintain a close partnership with IT to ensure that our models can be deployed quickly and monitored in a flexible deployment framework.
As a Principal Data Scientist, you will work with a talented and diverse team of data scientists with responsibility to:
Coordinate project teams of data scientists and supporting roles, acting as the primary point of contact in delivering end-to-end innovative, high-quality data solutions with measurable business value",3.5,"GEICO
3.5","Chevy Chase, MD",-1,10000+ Employees,1936,Subsidiary or Business Segment,Insurance Carriers,Insurance,$10+ billion (USD),-1
Data Engineer,$60K - $109K (Glassdoor est.),"Job Summary
This role is responsible for the extraction, transformation and load of data from our legacy systems into our new Google Cloud environment. This position will be part of the Data & Analytics team.
Responsibilities:
Assembling large, complex sets of data that meet non-functional and functional business requirements
Identifying, designing and implementing internal process improvements optimizing data delivery, and automating manual processes
Building required infrastructure for optimal extraction, transformation and loading of data from various data sources including MySQL, Oracle, flat files, CSV into GCP.",2.8,"Atlantic Broadband
2.8","Quincy, MA",-1,501 to 1000 Employees,-1,Company - Public,Internet,Information Technology,$100 to $500 million (USD),-1
"Scientist III, Quality Control",$35K - $64K (Glassdoor est.),"The Scientist 3 - QC is responsible to perform testing of raw materials, in-process and finished pharmaceutical dosage forms, products on stability, cleaning verification samples following written procedures and applicable SOPs, calculate and report results on applicable specification documents, participate in method transfer activities within departments or between facilities or organizations. This role will also provide feedback on systems and analytical procedures to promote continuous improvement and enhancement of compliance posture.

Essential Functions:
Perform physical and chemical analysis of raw materials, in-process, and finished pharmaceutical products, including products on stability, according to written methods, material specification, and company policies as identified in standard operating procedures (SOPs). Comply with cGMps, SOPs, and STPs to avoid out-of-specification situation. Assure compliance with state and federal regulations.",3.4,"Amneal Pharmaceuticals
3.4","Brookhaven, NY",-1,5001 to 10000 Employees,2002,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $2 billion (USD),-1
AD Research Scientist-Level TBD Virtual Hiring Event,-1,"Nitto Denko Avecia, Inc. Virtual Hiring Event

Event Details
Date: Wednesday, January 20, 2021

What We're Hiring For

Quality Control Analyst III

AD Research Scientist-Level TBD

Manufacturing Supervisor-2nd and 3rd shift

Intake Details:
Technical requirements

After RSVPing, you will be sent an email with connection instructions.
Please be prepared to join the virtual meeting in a quiet place from a desktop/mobile device with a speaker, microphone, and web camera. Check that your network connection is adequate to run an online session satisfactorily. Plugged in ethernet, or a strong WiFi network signal will help avoid time delays in your conversation.

What to bring to this event

Resume

What to wear

Business casual (dress pants/skirt, button down/blouse, optional tie)

About Nitto Denko Avecia

At Avecia, our team approach allows you to excel in your individual area of expertise as well as to be part of a group of professionals that has the support of management and peers from various backgrounds. And while we’re focused on results, we still maintain our flexibility, enjoy camaraderie and the benefits of work/life balance. Make the next move in your progression of success and join Avecia.

We give each and every employee the space to enjoy life, their families and friendships outside of work. Flexible time off, flexible schedules, and company sponsored activities are only some of the ways we encourage a good work/life balance. Our Complete Package includes medical, dental and vision benefits, generous paid time off, retirement savings programs, and services such as employee assistance counseling. Our compensation program offers competitive base and bonus packages. We support both personal and professional development through internal and external employee workshops and tuition reimbursement for local universities.

What is a Virtual Hiring Event?
Virtual hiring events are a great way for employers and jobseekers to connect, even if they aren't in the same physical location. Hiring is a human process, and they would like to talk with you online (either through chat, on the phone, or video) to see if you’re a fit!

https://www.youtube.com/embed/SiGwY1rPFgI



Do you have experience working in a GMP manufacturing environment?


The Research Scientist-level TBD is responsible for executing analytical tasks, including method development activities, for one or more projects to support research and development primarily focused on oligonucleotides. Higher levels be will responsible for independently designing, executing, and reporting analytical tasks including method development activities, for one or more projects to support research and development primarily focused on oligonucleotides.


This will vary based on the level

o PhD with 2+ years
o MS with 4+ years
o BA/BS with 6+ years of related work experience.",2.8,"Nitto Denko Avecia
2.8","Providence, RI",-1,201 to 500 Employees,-1,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),-1
Healthcare Analytics Consultant,$48K - $74K (Glassdoor est.),"The Berkeley Research Group, LLC (BRG) Healthcare practice is ranked in the top 6 in the country by Modern Health Care. Within BRG’s Healthcare practice, the Healthcare Analytics professionals bring extensive industry experience to deliver data driven, independent, and innovative approaches to complex legal, regulatory, and business challenges. Our core strength is the ability to harness and analyze large amounts of electronic healthcare data and turn it into meaningful and insightful information. Healthcare companies trust our independent thinking and ability to solve unstructured problems. We serve a range of healthcare clients including payors, providers, life sciences companies, and the legal and financial firms that work with the industry.
The Healthcare Analytics Consultant / Managing Consultant position is a senior-level consulting staff position. This position requires a highly motivated problem solver with solid analytical ability, strong organizational skills, and a desire to advance within the organization. The work of a Healthcare Analytics Consultant / Managing Consultant will involve both execution and oversight of engagement work streams that may be either qualitative or quantitative in nature, and responsibilities include: management of junior staff, design of statistical and financial analysis, modeling of financial and healthcare transactional data, quality control, development and presentation of client deliverables, management of existing client relationships, industry research, and supporting others in business development needs.",3.1,"Berkeley Research Group, LLC
3.1","Tampa, FL",-1,1001 to 5000 Employees,2010,Company - Private,Consulting,Business Services,Unknown / Non-Applicable,-1
Risk Analytics Manager,-1,"Key Responsibilities
Develop and execute risk management and lead acquisition strategies inside the business rules / decision engine and help quality assure, roll out and monitor.
Validate and test risk management strategies. Evaluate statistical scoring, segmentation, and third-party products for effective risk mitigation solutions.
Work with cross functional teams to develop and execute on strategic initiatives.
Implement initiatives to ensure consistency and compliance with credit policies, and liaise with cross functional business counterparts to develop and implement risk strategies and third party platform integration.
Analyze credit risk and financial data to develop, test, and optimize risk factors related to credit policies.

Required",-1,"Cane Bay Partners VI, LLP/CBP","Christiansted, VI",-1,-1,-1,-1,-1,-1,-1,-1
"Scientist, Product Development",$50K - $93K (Glassdoor est.),"Summary:
Metagenics is a global lifestyle medicine company, offering products and programs exclusively to health care practitioners. For over 30 years, we have been driven by a scientific concept: How the right nutrition can help people realize their best health possible. We don't compromise on safety, efficacy, or quality - to make sure that we deliver the best results possible. Time after time. Bottle after bottle. We carefully monitor all products to assure purity and safety, from formulation and ingredient selection all the way to the final product. We offer more educational support for health care professionals than anyone else in our field - keeping them in touch with the latest research and nutritional approaches to help manage today’s most common illnesses. Metagenics is dedicated to helping people live a happier, healthier life by realizing their genetic potential.
Responsibilities:
Position Summary:

The Product Development (PD) Scientist is responsible for all aspects of the technical product and process development from benchtop to commercialization of all dosage forms to achieve NPD (New Product Development) and reformulation goals. The PD scientist is expected to effectively utilize best practices and procedures in product and process development. Identifies and advances technology opportunities to drive innovation and points of differentiation for the brands. Effectively interfaces with Nutrition Science, Quality, Manufacturing, Marketing, Procurement and other cross-functional disciplines to accomplish project goals. The Product Development Scientist is known as a Subject Matter Expert (SME) on all aspects of formulation, product/process development, scale-up and commercialization of foods, medical foods and dietary supplement dosage forms. Expected to gain knowledge and insights about the customer feedback loops and effectively utilize these in advancing product and process development. Exemplifies good business acumen and utilizes agile principles in product and process development. A good steward of company resources.",3.1,"Metagenics
3.1","Gig Harbor, WA",-1,201 to 500 Employees,1983,Company - Private,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD),-1
FCC Data Scientist,-1,"Summary: The FCC Analytics group is responsible for the development and management of the BSA/AML, Fraud and Quality Control analytics functions. The group tunes the financial crimes models dedicated to the detection of suspicious activity and fraudulent transactions as well as those designed to risk rate customers and screen against OFAC designated lists. Additionally, the group manages application related implementations, maintenance and enhancements and the development of reporting and visual analytics used for investigations, KPI tracking, quarterly reporting and annual risk assessments.

The primary purpose of this position is to assist with the management of the Fraud and BSA/AML models related to transaction monitoring, customer risk rating, OFAC fuzzy logic filtering, and transactional fraud mitigation strategies. The individual that fulfills this position must understand the general dynamics of model risk management as set forth by OCC guidelines. Furthermore, the candidate must also have experience with SQL, quantitative stat based analytics (such as standard deviation, percentile distributions, k-means, clustering, etc.), model forecasting and reporting analytics (including visual and flowchart modeling) amongst other skill sets around management of information systems. Requires basic commercial awareness.",-1,BankUnited,"Miami Lakes, FL",-1,-1,-1,-1,-1,-1,-1,-1
Operations Data Analyst,$36K - $62K (Glassdoor est.),"Make your mark. With more than $17.2 billion of assets under management, Plante Moran’s Wealth Management Team serves as a trusted advisor to more than 2,900 high net worth individuals, family business owners, and corporate retirement plans helping them build, manage and preserve their wealth. Our integrated affiliate services include investment consulting, financial planning, trust, insurance consulting, estate planning, business succession, and tax planning.

Your role.
Your work will include, but not be limited to:
Setup and closing of portfolios",4.0,"Plante Moran
4.0","Kalamazoo, MI",-1,1001 to 5000 Employees,1924,Company - Private,Accounting,Accounting & Legal,$500 million to $1 billion (USD),-1
